nome;is_person;role_detail;role_group;numero_episodio
VALDIS OSKARSDOTTIR;TRUE;editor;Editors;Eternal Sunshine of the Spotless Mind
VALENTINE MANAGEMENT & THE GOJANI FAMILY;FALSE;and a very special thank you to;Miscellaneous Companies;Eternal Sunshine of the Spotless Mind
VALERIE NOLAN;TRUE;interns;Additional Crew;Eternal Sunshine of the Spotless Mind
Varma Malik;TRUE;written by;Soundtrack;Eternal Sunshine of the Spotless Mind
VERY FINE TEES;FALSE;the producers wish to thank;Miscellaneous Companies;Eternal Sunshine of the Spotless Mind
VICTOR RASUK;TRUE;special thanks to;Thanks;Eternal Sunshine of the Spotless Mind
WENDY COHEN;TRUE;clearances and product placement by;Legal Department;Eternal Sunshine of the Spotless Mind
WILL KEENAN;TRUE;special thanks to;Thanks;Eternal Sunshine of the Spotless Mind
WILLIAM GORE, JR.;TRUE;drivers;Transportation Department;Eternal Sunshine of the Spotless Mind
WILLIAM K. GASKINS;TRUE;transportation captain;Transportation Department;Eternal Sunshine of the Spotless Mind
WILLIAM T. STUART;TRUE;drivers;Transportation Department;Eternal Sunshine of the Spotless Mind
WRANGLER;FALSE;the producers wish to thank;Miscellaneous Companies;Eternal Sunshine of the Spotless Mind
DEIRDRE N. WILLIAMS;TRUE;wardrobe supervisors;Costume and Wardrobe Department;Eternal Sunshine of the Spotless Mind
LISA FRUCHT;TRUE;wardrobe supervisors;Costume and Wardrobe Department;Eternal Sunshine of the Spotless Mind
ZACHARY ZOPPA;TRUE;interns;Additional Crew;Eternal Sunshine of the Spotless Mind
ZBIGNIEW KOUROS;TRUE;key construction grips;Camera and Electrical Department;Eternal Sunshine of the Spotless Mind
"""BUTCH"" MONTGOMERY";TRUE;Propmaker Foremen;Property Department;Fight Club
20th CENTURY FOX;FALSE;;Production Companies;Fight Club
ADAM PEARLMAN;TRUE;Set Dressers;Art Department;Fight Club
AERO MOCK-UPS, INC.;FALSE;Airline Interiors;Miscellaneous Companies;Fight Club
ALEX MCDOWELL;TRUE;Production Designer;Production Designers;Fight Club
ALEX OLIVARES;TRUE;First Assistant Editors;Editorial Department;Fight Club
ALEXANDER LEVENSON;TRUE;Modeler;Visual Effects;Fight Club
ALISON ABROHAMS;TRUE;Assistant to Ms. Chaffin;Additional Crew;Fight Club
ALLEN KUPETSKY;TRUE;Second Second Assistant Directors;Second Unit Directors or Assistant Directors;Fight Club
AMANDA FRIEDLAND;TRUE;Set Costumers;Costume and Wardrobe Department;Fight Club
ANDERSON BOURELL;TRUE;Bruised Bar Patron #1;Cast;Fight Club
ANDI CARNICK;TRUE;Hotel Desk Clerk;Cast;Fight Club
ANDRE FENLEY;TRUE;Asst. Sound Editors;Sound Department;Fight Club
Andre Previn;TRUE;Words and Music by;Soundtrack;Fight Club
ANDY SCUDIER;TRUE;Paint Foremen;Art Department;Fight Club
ANGUS WALL;TRUE;Editorial Consultant;Editorial Department;Fight Club
ANTHONY VAN DYKE;TRUE;Company Electricians;Camera and Electrical Department;Fight Club
ARNON MILCHAN;TRUE;Executive Producer;Producers;Fight Club
Art Hodge;TRUE;Score Co-Produced by;Composers;Fight Club
ART LINSON;TRUE;Produced by;Producers;Fight Club
ARTHUR PIMENTEL;TRUE;Mold Maker;Makeup Department;Fight Club
Associated Production Music;FALSE;Courtesy of;Miscellaneous Companies;Fight Club
Azam Ali;TRUE;Composed by;Soundtrack;Fight Club
BABETTE DICKERSON;TRUE;Second Assistant Editors;Editorial Department;Fight Club
BENNIE E. MOORE, JR.;TRUE;Bus Driver with Broken Nose;Cast;Fight Club
"BILL ""KAUHANE"" HOYT";TRUE;Standby Painter;Art Department;Fight Club
BILL DANCE CASTING;FALSE;Extras Casting;Miscellaneous Companies;Fight Club
Black Francis;TRUE;Written by;Soundtrack;Fight Club
BLUE SKY STUDIOS;FALSE;Special Visual Effects and Digital Animation by;Special Effects Companies;Fight Club
Bob Garret;TRUE;Lyric by;Soundtrack;Fight Club
BOB WAGNER;TRUE;Second Assistant Director;Second Unit Directors or Assistant Directors;Fight Club
GWENDOLYN YATES WHITTLE;TRUE;ADR Supervisor;Sound Department;Fight Club
BRAD PARKER;TRUE;Digital Artists;Visual Effects;Fight Club
BRAD PITT;TRUE;Tyler Durden;Cast;Fight Club
BRAD PITT;TRUE;;Cast;Fight Club
BRANDON M. COX;TRUE;Production Assistants;Production Department;Fight Club
BRANDON PROCTOR;TRUE;Mix Technicians;Sound Department;Fight Club
BRIAN RICHARDS;TRUE;Music Editor;Music Department;Fight Club
BRUCE G. SMITH;TRUE;Paint Foremen;Art Department;Fight Club
BRYAN DUFF;TRUE;Assistant Property Masters;Property Department;Fight Club
BRYCE MOORE;TRUE;Assistant Property Masters;Property Department;Fight Club
BUF INC.;FALSE;Special Visual Effects and Digital Animation by;Special Effects Companies;Fight Club
BUZ PRESOCK;TRUE;Set Production Assistants;Production Department;Fight Club
CAMILLA HENNEMAN;TRUE;Bob Suit Keyperson;Costume and Wardrobe Department;Fight Club
CAREY LEN SMITH;TRUE;Visual Effects Post Producer;Visual Effects;Fight Club
CARL N. CIARFALIO;TRUE;Lou's Body Guard;Cast;Fight Club
CAROLYN TAPP;TRUE;Foley Recordist;Sound Department;Fight Club
CARRIE BEST;TRUE;Construction Accountant;Production Finance and Accounting;Fight Club
CEAN CHAFFIN;TRUE;Produced by;Producers;Fight Club
Cezame Argile;TRUE;Performed by;Soundtrack;Fight Club
CHARLEEN RICHARDS;TRUE;ADR Mixers;Sound Department;Fight Club
CARLOS SALDANHA;TRUE;Animation Supervisor;Visual Effects;Fight Club
Charles Goodan;TRUE;Score Co-Produced by;Composers;Fight Club
CHARLES W. BELISLE;TRUE;Set Dressers;Art Department;Fight Club
CHARLIE DELL;TRUE;Doorman at Pearson Towers;Cast;Fight Club
CHRIS GORAK;TRUE;Art Director;Art Directors;Fight Club
CHRIS GRANTZ;TRUE;Set Dressers;Art Department;Fight Club
CHRIS HAARHOFF;TRUE;Steadicam Operator;Camera and Electrical Department;Fight Club
CHRIS Y. YANG;TRUE;Digital Artists;Visual Effects;Fight Club
Christian Poulet;TRUE;Written by;Soundtrack;Fight Club
CHRISTIE CEAN GEORGE;TRUE;Casting Assistant;Casting Department;Fight Club
CHRISTIE CRONENWETH;TRUE;Airline Check-In Attendant;Cast;Fight Club
CHRISTINA CABOT;TRUE;Leader - Partners In Positivity;Cast;Fight Club
CHRISTOPHER HEETER;TRUE;Production Manager;Production Managers;Fight Club
CHRISTOPHER JOHN FIELDS;TRUE;Proprietor of Dry Cleaners;Cast;Fight Club
CHRISTOPHER M. BURROWS;TRUE;Rotoscoper;Visual Effects;Fight Club
CHRISTOPHER SCOLLARD;TRUE;Senior Digital Effects Producer;Visual Effects;Fight Club
CHUCK PALAHNIUK;TRUE;Based on the Novel by;Writers;Fight Club
CINDY NEVINS;TRUE;Payroll Accountant;Production Finance and Accounting;Fight Club
CLAUDIO MIRANDA;TRUE;Gaffer;Camera and Electrical Department;Fight Club
MATTHEW BUTLER;TRUE;CG Supervisor;Visual Effects;Fight Club
CLIFF WENGER;TRUE;Special Effects Coordinator;Special Effects;Fight Club
CLINT TAYLOR;TRUE;Propmaker Foremen;Property Department;Fight Club
CLIVE RICHARDS;TRUE;Company Electricians;Camera and Electrical Department;Fight Club
COLIN GREEN;TRUE;Shot Designers;Visual Effects;Fight Club
Columbia Records;FALSE;Courtesy of;Miscellaneous Companies;Fight Club
COMMAND POST TOYBOX, TORONTO;FALSE;Digital Visual Effects and Digital Film Scanning by;Special Effects Companies;Fight Club
CHRISTOPHE-OLIVIER DUPUIS;TRUE;CG Supervisors;Visual Effects;Fight Club
CONRAD W. HALL;TRUE;Camera Operator;Camera and Electrical Department;Fight Club
DAVID VERBEKE;TRUE;CG Supervisors;Visual Effects;Fight Club
CRAIG KOHTALA;TRUE;Best Boy Grip;Camera and Electrical Department;Fight Club
GEOFFREY NIQUET;TRUE;CG Supervisors;Visual Effects;Fight Club
CUSTOM FILM EFFECTS;FALSE;End Credits;Miscellaneous Companies;Fight Club
DAMON CARO;TRUE;Stunt Players;Stunts;Fight Club
DANIEL LEMMON;TRUE;Digital Artists;Visual Effects;Fight Club
Daniel May;TRUE;Written and Performed by;Soundtrack;Fight Club
DANIELLE M. SIMPSON;TRUE;Set Dressing Buyer;Art Department;Fight Club
STEPHANE NAZE;TRUE;CG Supervisors;Visual Effects;Fight Club
DARIN K. GRANT;TRUE;Software Engineers;Visual Effects;Fight Club
DARREN M. POE;TRUE;Digital Compositors;Visual Effects;Fight Club
DAVE DIAMOND;TRUE;Rigging Best Boy Electric;Camera and Electrical Department;Fight Club
DAVE LOCKWOOD;TRUE;Compositor/Roto Artist;Visual Effects;Fight Club
DAVE ROBLING;TRUE;Transportation Coordinator;Transportation Department;Fight Club
DAVE WALVOORD;TRUE;Senior Lighting & Effects Artist;Visual Effects;Fight Club
DAVID ANDREWS;TRUE;Thomas at Remaining Men Together;Cast;Fight Club
DAVID BAILEY;TRUE;Matte Painter;Visual Effects;Fight Club
DAVID BOULTON;TRUE;ADR Mixers;Sound Department;Fight Club
DAVID BRENNER;TRUE;Propmaker Foremen;Property Department;Fight Club
DAVID C. HUGHES;TRUE;Sound Effects Editors;Sound Department;Fight Club
DAVID FINCHER;TRUE;A ... Film;Directors;Fight Club
DAVID FINCHER;TRUE;Directed By;Directors;Fight Club
DAVID GLEESON;TRUE;Additional Mixing;Sound Department;Fight Club
DAVID J. COFINI;TRUE;Accounting Assistant;Production Finance and Accounting;Fight Club
DAVID JEAN-THOMAS;TRUE;Policeman;Cast;Fight Club
DAVID LEE SMITH;TRUE;Walter;Cast;Fight Club
DAVID LEITCH;TRUE;Stunt Players;Stunts;Fight Club
DAVID McKIMMIE;TRUE;Assistant Production Coordinator;Production Department;Fight Club
DAVID ORR;TRUE;Color Timer;Color Department;Fight Club
DAVID PARKER;TRUE;Re-recording Mixers;Sound Department;Fight Club
DAVID STERN;TRUE;Digital Compositors;Visual Effects;Fight Club
YANN BLONDEL;TRUE;CG Supervisors;Visual Effects;Fight Club
DAVID W. PRESCOTT;TRUE;Opening Sequence Team Leads;Visual Effects;Fight Club
"DERRELL ""SHAWN"" ROBERTS";TRUE;Special Effects;Special Effects;Fight Club
DERRICK CRANE;TRUE;Special Effects;Special Effects;Fight Club
DIANNE CHADWICK;TRUE;Art Department Assistant;Art Department;Fight Club
DIERDRE DOWNING-JACKSON;TRUE;Business Woman on Plane;Cast;Fight Club
DIGITAL DOMAIN;FALSE;Special Visual Effects and Digital Animation by;Special Effects Companies;Fight Club
DOC KANE;TRUE;ADR Mixers;Sound Department;Fight Club
DOMENIC H. SILVESTRI;TRUE;Set Designers;Art Department;Fight Club
DON COUFAL;TRUE;Boom Operator;Sound Department;Fight Club
Dory;TRUE;Words and Music by;Soundtrack;Fight Club
DOUG SIECK;TRUE;Set Dressers;Art Department;Fight Club
DOUG WINNINGHAM;TRUE;Sound Apprentice;Sound Department;Fight Club
EDDY MALONEY;TRUE;Best Boy Electric;Camera and Electrical Department;Fight Club
EDWARD KOWALCZYK;TRUE;Waiter at Clifton's;Cast;Fight Club
EDWARD NORTON;TRUE;Narrator;Cast;Fight Club
EDWARD NORTON;TRUE;;Cast;Fight Club
EFILM;FALSE;Scanning & Recording by;Special Effects Companies;Fight Club
EILEEN M. DENNIS;TRUE;2nd Assistant Accountants;Production Finance and Accounting;Fight Club
EILEEN MORAN;TRUE;Visual Effects Producer;Visual Effects;Fight Club
EION BAILEY;TRUE;Ricky;Cast;Fight Club
EION BAILEY;TRUE;;Cast;Fight Club
ELINOR BARDACH;TRUE;Costume Supervisor;Costume and Wardrobe Department;Fight Club
Elektra Entertainment Group/4AD;FALSE;Courtesy of;Miscellaneous Companies;Fight Club
ERIC DELTOUR;TRUE;Digital Artists;Visual Effects;Fight Club
ERIC ROBERTS;TRUE;Special Effects Foreman;Special Effects;Fight Club
ERIC ROSENBERG;TRUE;Graphic Designer;Art Department;Fight Club
EUGENIE BONDURANT;TRUE;Weeping Woman - Onward and Upward;Cast;Fight Club
EVAN MIRAND;TRUE;"""Steph""";Cast;Fight Club
EWA SZTOMPKE-OATFIELD;TRUE;Dialogue Editors;Sound Department;Fight Club
EZRA BUZZINGTON;TRUE;Federated Motor Co. Inspector Dent;Cast;Fight Club
FANEE AARON;TRUE;Model Maker;Art Department;Fight Club
FLINT MALONEY;TRUE;Location Managers;Location Managers;Fight Club
FOX 2000 PICTURES;FALSE;present;Production Companies;Fight Club
FRANCESCO GRISI;TRUE;Production;Visual Effects;Fight Club
FRANCIE BROWN;TRUE;Dialect Coach;Additional Crew;Fight Club
FRANCOIS BOUDAILLE;TRUE;Digital Artists;Visual Effects;Fight Club
FRANK ROUGHAN;TRUE;Transportation Captains;Transportation Department;Fight Club
Franki Hulme;TRUE;Written by;Soundtrack;Fight Club
FRIDA ARADOTTIR;TRUE;Key Hair Stylist;Makeup Department;Fight Club
FRITZ ARCHER;TRUE;Digital Effects Editor;Visual Effects;Fight Club
GALA CATERING;FALSE;Caterer;Miscellaneous Companies;Fight Club
GARY KANNER;TRUE;Camera Loader;Camera and Electrical Department;Fight Club
George Fenton;TRUE;Written by;Soundtrack;Fight Club
GEORGE MAGUIRE;TRUE;Group Leader - Remaining Men Together;Cast;Fight Club
GEORGE W. STOKES, JR.;TRUE;Propmaker Foremen;Property Department;Fight Club
GLEN HANZ;TRUE;Sculptors;Makeup Department;Fight Club
"RICHARD ""DR."" BAILY";TRUE;Digital Animation Supervisor/Producer;Visual Effects;Fight Club
GRAY MATTER FX;FALSE;Special Visual Effects by;Special Effects Companies;Fight Club
Greg Ellis;TRUE;Composed by;Soundtrack;Fight Club
CAREY VILLEGAS;TRUE;Digital Compositing Supervisor;Visual Effects;Fight Club
GREG SOLOMON;TRUE;Prosthetic Technician;Makeup Department;Fight Club
GREGORY N. ROCCO;TRUE;On Set Dresser;Art Department;Fight Club
Guy Moon;TRUE;Music by | Produced by;Soundtrack;Fight Club
MIKE ELLIS;TRUE;Digital Film Supervisor;Visual Effects;Fight Club
HAROLD J. SKINNER;TRUE;Company Electricians;Camera and Electrical Department;Fight Club
Harry Warren;TRUE;Composed by;Soundtrack;Fight Club
HASINA DEARY;TRUE;Assistants to Mr. Milchan;Additional Crew;Fight Club
MICHAEL D. KANFER;TRUE;Film Imaging Supervisor;Visual Effects;Fight Club
HELEN POLLAK;TRUE;Unit Production Manager;Production Managers;Fight Club
HELENA BONHAM CARTER;TRUE;Marla Singer;Cast;Fight Club
HELENA BONHAM CARTER;TRUE;;Cast;Fight Club
Hi-Ho Records;FALSE;Courtesy of;Miscellaneous Companies;Fight Club
HILDA HODGES;TRUE;Foley Artists;Sound Department;Fight Club
HOLT McCALLANY;TRUE;The Mechanic;Cast;Fight Club
HOLT MCCALLANY;TRUE;;Cast;Fight Club
HUGO SANTIAGO;TRUE;Set Designers;Art Department;Fight Club
IMAGE SAVANT;FALSE;Special Visual Effects and Digital Animation by;Special Effects Companies;Fight Club
IRKA B. SENG;TRUE;Digital Effects Coordinator;Visual Effects;Fight Club
ISABELLE HAULIN;TRUE;Software Development;Visual Effects;Fight Club
Island Records, Inc.;FALSE;Courtesy of;Miscellaneous Companies;Fight Club
JAIME ANDRES CASTANEDA;TRUE;Animators;Visual Effects;Fight Club
JAMES BATTERSBY;TRUE;Shot Designers;Visual Effects;Fight Club
JAMES HAYGOOD;TRUE;Film Editor;Editors;Fight Club
JAMES NOBLE;TRUE;Company Electricians;Camera and Electrical Department;Fight Club
JARED LETO;TRUE;Angel Face;Cast;Fight Club
JARED LETO;TRUE;;Cast;Fight Club
JAY R. HART;TRUE;Set Decorator;Set Decorators;Fight Club
JEAN A. BLACK;TRUE;Mr. Pitt's Make-Up Artist;Makeup Department;Fight Club
JEFF CAMPBELL;TRUE;Digital Effects Compositor;Visual Effects;Fight Club
JEFF CRONENWETH;TRUE;Director of Photography;Cinematographers;Fight Club
Jeff Haskell;TRUE;Arrangement by;Soundtrack;Fight Club
JEFF IMADA;TRUE;Stunt Players;Stunts;Fight Club
JEFF PASSANANTE;TRUE;Construction Coordinator;Art Department;Fight Club
JEFF S. PYLE;TRUE;Model Foremen;Special Effects;Fight Club
JEFF WEXLER;TRUE;Sound Mixer;Sound Department;Fight Club
JEFFREY RODERICK WOODS;TRUE;Production Assistants;Production Department;Fight Club
JESSICA BELLFORT;TRUE;Asst. Sound Editors;Sound Department;Fight Club
JIM ALFONSO;TRUE;Transportation Captains;Transportation Department;Fight Club
JIM C. DAVIDSON;TRUE;Production Accountant;Production Finance and Accounting;Fight Club
JIM RUTHERFORD;TRUE;3D Animator;Visual Effects;Fight Club
JIM UHLS;TRUE;Screenplay by;Writers;Fight Club
JIMMY NICKERSON;TRUE;Stunt Players;Stunts;Fight Club
JOE HARTWICK, JR.;TRUE;1st Assistant Accountant;Production Finance and Accounting;Fight Club
JOEL BISSONNETTE;TRUE;Food Court Maitre d';Cast;Fight Club
JOHN CONNOR;TRUE;First Assistant Camera;Camera and Electrical Department;Fight Club
JOHN GRANT;TRUE;Set Dressers;Art Department;Fight Club
John King;TRUE;Original Music Composed by;Composers;Fight Club
John King;TRUE;Score Arranged, Recorded and Mixed by;Music Department;Fight Club
John Leach;TRUE;Written by;Soundtrack;Fight Club
JOHN LEONE;TRUE;Labor Foremen;Art Department;Fight Club
JOHN P. CLEVELAND;TRUE;Company Grips;Camera and Electrical Department;Fight Club
JOHN ROESCH;TRUE;Foley Artists;Sound Department;Fight Club
JOHN S. DORSEY;TRUE;Associate Producer;Producers;Fight Club
JOHN SICZEWICZ;TRUE;Senior Digital Artist;Visual Effects;Fight Club
John Wolfenden;TRUE;Written by;Soundtrack;Fight Club
JOON B. KIM;TRUE;Raymond K. Hessel;Cast;Fight Club
JOSH ALLER;TRUE;Custom Software;Visual Effects;Fight Club
JUDITH CROW;TRUE;Opening Sequence Team Leads;Visual Effects;Fight Club
JULIA LEVINE;TRUE;Set Designers;Art Department;Fight Club
JULIA P. PITT;TRUE;Assistant to Mr. Norton;Additional Crew;Fight Club
JULIE ANN SNOW;TRUE;2nd Assistant Accountants;Production Finance and Accounting;Fight Club
JULIE PEARCE;TRUE;Key Make-Up Artist;Makeup Department;Fight Club
Junk Ferry;TRUE;Performed by;Soundtrack;Fight Club
JURGEN SCHARPF;TRUE;Mix Technicians;Sound Department;Fight Club
K. Moo;TRUE;Written by;Soundtrack;Fight Club
KAI BLOMBERG;TRUE;Set Dressers;Art Department;Fight Club
KAREN CHALK WHEELER;TRUE;Post-Production Accountant;Production Finance and Accounting;Fight Club
KAREN MIESELS;TRUE;Casting Associate;Casting Department;Fight Club
KATHERINE JONES;TRUE;Medical Artist;Additional Crew;Fight Club
Kathleen Brennan;TRUE;Written by;Soundtrack;Fight Club
KEN COTTENGIM, JR.;TRUE;Company Grips;Camera and Electrical Department;Fight Club
"Kenneth ""Babyface"" Edmonds";TRUE;Composed by;Soundtrack;Fight Club
Kenton Hulme;TRUE;Written by;Soundtrack;Fight Club
KEVIN PIKE;TRUE;Special Effects;Special Effects;Fight Club
KIERON ESTRADA;TRUE;Production Assistants;Production Department;Fight Club
KODAK;FALSE;;Miscellaneous Companies;Fight Club
Koka Media/Killer Tracks;FALSE;Courtesy of;Miscellaneous Companies;Fight Club
KONA CUTTING;FALSE;Negative Cutter;Miscellaneous Companies;Fight Club
KYRSTEN COMOGLIO;TRUE;Conforming Sound Editors;Sound Department;Fight Club
LARAY MAYFIELD;TRUE;Casting By;Casting Directors;Fight Club
LARRY AUBE;TRUE;Rigging Key Grip;Camera and Electrical Department;Fight Club
LARRY LAURENT;TRUE;Paint Foremen;Art Department;Fight Club
LARRY OATFIELD;TRUE;Conforming Sound Editors;Sound Department;Fight Club
LARRY SCHALIT;TRUE;Asst. Sound Editors;Sound Department;Fight Club
LAUREN LITTLETON;TRUE;Visual Effects Coordinator;Visual Effects;Fight Club
LAURENT SOUDRIE;TRUE;Software Development;Visual Effects;Fight Club
PETER MAVROMATES;TRUE;Post Production Supervisor;Editorial Department;Fight Club
Leo Robin;TRUE;Composed by;Soundtrack;Fight Club
LEONARD TERMO;TRUE;Desk Sergeant;Cast;Fight Club
LESLIE McMINN;TRUE;Visual Effects Assistant;Visual Effects;Fight Club
LINDAKAY BROWN;TRUE;Conforming Sound Editors;Sound Department;Fight Club
LINSON FILMS;FALSE;A ... Production;Production Companies;Fight Club
"LISA ""COCONUT"" GUERRIERO";TRUE;Second Assistant Camera;Camera and Electrical Department;Fight Club
LISA CHINO;TRUE;Asst. Supervising Sound Editor;Sound Department;Fight Club
LOU BEATTY, JR.;TRUE;Cop at Marla's Building;Cast;Fight Club
RON FRANKEL;TRUE;Pre-Visualization Supervisor;Visual Effects;Fight Club
LUCIO I. FLORES;TRUE;Software Engineers;Visual Effects;Fight Club
LUIS G. HOYOS;TRUE;Set Designers;Art Department;Fight Club
JULIE M. ANDERSON;TRUE;Production Supervisor;Production Managers;Fight Club
M. Dietrich, Inc.;FALSE;Courtesy of;Miscellaneous Companies;Fight Club
M. Petrie;TRUE;Written by;Soundtrack;Fight Club
MAKELA;TRUE;Main Title Design;Visual Effects;Fight Club
MALCOLM FIFE;TRUE;Supervising Foley Editor;Sound Department;Fight Club
MANNY VALENZUELA;TRUE;Labor Foremen;Art Department;Fight Club
Marc Ferrari;TRUE;Courtesy of;Soundtrack;Fight Club
MARGARET PRENTICE;TRUE;Make-Up Artists;Makeup Department;Fight Club
MARGAUX MACKAY;TRUE;Visual Effects Producer;Visual Effects;Fight Club
MARIA MANTIA;TRUE;Set Production Assistants;Production Department;Fight Club
MARILYN TASSO;TRUE;Transportation Office Asst.;Transportation Department;Fight Club
MARK C. GRECH;TRUE;Sound Technician;Sound Department;Fight Club
MARK FITE;TRUE;Second Man at Auto Shop;Cast;Fight Club
MARK JOINER;TRUE;Digital Animation Assistant;Visual Effects;Fight Club
MARKUS REDMOND;TRUE;Detective Kevin;Cast;Fight Club
Marlene Dietrich;TRUE;Performed by;Soundtrack;Fight Club
MARTHA ANNE FRANCIS;TRUE;Second Assistant Editors;Editorial Department;Fight Club
MARTHA SNOW MACK;TRUE;Digital Paint Artists;Visual Effects;Fight Club
MARTY BOSWORTH;TRUE;Rigging Gaffer;Camera and Electrical Department;Fight Club
MARYJO LANG;TRUE;Foley Mixer;Sound Department;Fight Club
MasterSource;FALSE;Courtesy of;Miscellaneous Companies;Fight Club
MATT WINSTON;TRUE;Seminary Student;Cast;Fight Club
MAX E. BREHME;TRUE;Set Dressers;Art Department;Fight Club
MEAT LOAF;TRUE;;Cast;Fight Club
MEAT LOAF ADAY;TRUE;Robert Paulsen;Cast;Fight Club
Melle Steagall;TRUE;Written by;Soundtrack;Fight Club
MERRICK MORTON;TRUE;Still Photographer;Camera and Electrical Department;Fight Club
MICHAEL A. McCUE;TRUE;Second Second Assistant Directors;Second Unit Directors or Assistant Directors;Fight Club
MICHAEL BRENNAN;TRUE;Dolly Grip;Camera and Electrical Department;Fight Club
DINA WAXMAN;TRUE;Script Supervisor;Script and Continuity Department;Fight Club
MICHAEL DOUGLAS MIDDLETON;TRUE;Visual Effects Still Photographer;Visual Effects;Fight Club
MICHAEL EDLAND;TRUE;Digital Artists;Visual Effects;Fight Club
MICHAEL GIRARDIN;TRUE;Detective Walker;Cast;Fight Club
MICHAEL HERRON;TRUE;Set Production Assistants;Production Department;Fight Club
MICHAEL J. COO;TRUE;Key Grip;Camera and Electrical Department;Fight Club
MICHAEL KAPLAN;TRUE;Costume Designer;Costume Designers;Fight Club
MICHAEL MATZDORFF;TRUE;First Assistant Editors;Editorial Department;Fight Club
MICHAEL RUNYARD;TRUE;Stunt Coordinator;Stunts;Fight Club
MICHAEL SANTORO;TRUE;Rigging Best Boy Grips;Camera and Electrical Department;Fight Club
MICHAEL SEMANICK;TRUE;Re-recording Mixers;Sound Department;Fight Club
MICHAEL SHAMUS WILES;TRUE;Bartender in Halo;Cast;Fight Club
Michael Simpson;TRUE;Original Music Composed by;Composers;Fight Club
Michael Simpson;TRUE;Score Arranged, Recorded and Mixed by;Music Department;Fight Club
MICHELLE MENDENHALL;TRUE;Second Assistant Editors;Editorial Department;Fight Club
MICKIE MCGOWAN;TRUE;Voice Casting;Dubbing;Fight Club
MIKE ARVANITIS;TRUE;Fox Best Boy Electric;Camera and Electrical Department;Fight Club
MIKE THURMEIER;TRUE;Animators;Visual Effects;Fight Club
MIKE TOPOOZIAN;TRUE;First Assistant Director;Second Unit Directors or Assistant Directors;Fight Club
MISA KAGEYAMA;TRUE;Asst. Sound Designer;Sound Department;Fight Club
Monarchy Enterprises B.V.;FALSE;Copyright;Production Companies;Fight Club
MOTOYOSHI HATA;TRUE;Sculptors;Makeup Department;Fight Club
Narada Productions, Inc;FALSE;Courtesy of;Miscellaneous Companies;Fight Club
NEIL GAHM;TRUE;Propmaker Foremen;Property Department;Fight Club
NEWS CORPORATION;FALSE;;Production Companies;Fight Club
NICHOLAS BROOKS;TRUE;Digital Compositing;Visual Effects;Fight Club
NICKERSON RESEARCH;FALSE;Stock Footage;Miscellaneous Companies;Fight Club
NICO BALLY;TRUE;Company Grips;Camera and Electrical Department;Fight Club
OLIVIER CAUWET;TRUE;Digital Artists;Visual Effects;Fight Club
OWEN MASTERSON;TRUE;Airport Valet;Cast;Fight Club
P. Scott Makela;TRUE;In memory of;Thanks;Fight Club
P.C.P. LABS - L.A.;FALSE;Score Recorded & Mixed at;Miscellaneous Companies;Fight Club
PANAVISION;FALSE;Filmed with;Miscellaneous Companies;Fight Club
PAOLO J. de GUZMAN;TRUE;Digital Paint Artists;Visual Effects;Fight Club
PAT McNAMARA;TRUE;Commissioner Jacobs;Cast;Fight Club
PATRICIA BOULOGNE;TRUE;Production;Visual Effects;Fight Club
PATRICK LACHAUX;TRUE;Digital Artists;Visual Effects;Fight Club
PATRICK SHEARN;TRUE;Production;Visual Effects;Fight Club
PATRICK THORNHILL;TRUE;Production Assistants;Production Department;Fight Club
PATTI ROBERTS NELSON;TRUE;Mr. Linson's Associate;Additional Crew;Fight Club
PATTY MILLER;TRUE;Hair Stylist;Makeup Department;Fight Club
PAUL CARAFOTES;TRUE;Salvator - Winking Bartender;Cast;Fight Club
PAUL MILTON;TRUE;Paint Foremen;Art Department;Fight Club
PENELOPE VANDECAVE;TRUE;Digital Artists;Visual Effects;Fight Club
PETER IACANGELO;TRUE;Lou;Cast;Fight Club
PETER J. KELLY;TRUE;Set Designers;Art Department;Fight Club
PETER RAMSEY;TRUE;Storyboard Artist;Art Department;Fight Club
PIXEL LIBERATION FRONT;FALSE;Pre-Visualization by;Special Effects Companies;Fight Club
POP FILM;FALSE;Digital Transitions by;Special Effects Companies;Fight Club
RACHEL DUNN;TRUE;Digital Compositors;Visual Effects;Fight Club
RACHEL SINGER;TRUE;Chloe;Cast;Fight Club
RANDY S. WESTGATE;TRUE;Make-Up Artists;Makeup Department;Fight Club
Raymond Bongiovanni;TRUE;In memory of;Thanks;Fight Club
RAYMOND BULINSKI;TRUE;Craft Service;Craft Services;Fight Club
REBECCA DELEO;TRUE;Mr. Pitt's Hair Consultant;Makeup Department;Fight Club
REGENCY;FALSE;;Production Companies;Fight Club
REGENCY ENTERPRISES;FALSE;present;Production Companies;Fight Club
Regency Entertainment (USA), Inc.;FALSE;Copyright;Production Companies;Fight Club
REN KLYCE;TRUE;Sound Designer;Sound Department;Fight Club
RICHARD HYMNS;TRUE;Sound Supervisor;Sound Department;Fight Club
RESTLESS RECORDS;FALSE;Soundtrack available on;Miscellaneous Companies;Fight Club
RHETT WOODEN;TRUE;Fox Best Boy Grip;Camera and Electrical Department;Fight Club
RHONA MEYERS;TRUE;Key Costumers;Costume and Wardrobe Department;Fight Club
