nome;is_person;role_detail;role_group;numero_episodio;imdb_nconst_88;nome_corretto_imdb_88;imdb_action_88;imdb_nconst_90;nome_corretto_imdb_90;imdb_action_90;imdb_nconst_92;nome_corretto_imdb_92;imdb_action_92;imdb_nconst_94;nome_corretto_imdb_94;imdb_action_94;imdb_nconst_96;nome_corretto_imdb_96;imdb_action_96;imdb_nconst_98;nome_corretto_imdb_98;imdb_action_98;imdb_nconst_99;nome_corretto_imdb_99;imdb_action_99;HUMAN nome imdb corretto;HUMAN codice imdb corretto
Alberto Bognanni;TRUE;Enrico Bordini;Cast;Romanzo criminale S01E01;nm1282526;Alberto Bognanni;A;nm1282526;Alberto Bognanni;A;nm1282526;Alberto Bognanni;A;nm1282526;Alberto Bognanni;A;nm1282526;Alberto Bognanni;A;nm1282526;Alberto Bognanni;A;nm1282526;Alberto Bognanni;A;;
Alberto Buccolini;TRUE;Gianni Bordini;Cast;Romanzo criminale S01E01;nm5567499;Alberto Buccolini;A;nm5567499;Alberto Buccolini;A;nm5567499;Alberto Buccolini;A;nm5567499;Alberto Buccolini;A;nm5567499;Alberto Buccolini;A;nm5567499;Alberto Buccolini;A;nm5567499;Alberto Buccolini;A;;
ALBERTO DA SINDA;TRUE;;Cast;El desorden que dejas S01E03;nm5733563;Alberto da Sinda;A;nm5733563;Alberto da Sinda;A;nm5733563;Alberto da Sinda;A;nm5733563;Alberto da Sinda;A;nm5733563;Alberto da Sinda;A;nm5733563;Alberto da Sinda;A;nm5733563;Alberto da Sinda;A;;
Alberto Duelli;TRUE;Aiuto Scenografo;Art Department;Romanzo criminale S01E01;nm9849886;Alberto Duelli;A;nm9849886;Alberto Duelli;A;nm9849886;Alberto Duelli;A;nm9849886;Alberto Duelli;A;nm9849886;Alberto Duelli;A;nm9849886;Alberto Duelli;A;nm9849886;Alberto Duelli;A;;
Alberto Gasbarri;TRUE;Enrico Gemito;Cast;Romanzo criminale S01E01;nm2365833;Alberto Gasbarri;A;nm2365833;Alberto Gasbarri;A;nm2365833;Alberto Gasbarri;A;nm2365833;Alberto Gasbarri;A;nm2365833;Alberto Gasbarri;A;nm2365833;Alberto Gasbarri;A;nm2365833;Alberto Gasbarri;A;;
Alberto Goldoni;TRUE;Luigi Montesi;Cast;Romanzo criminale S01E01;nm4429331;Alberto Goldoni;A;nm4429331;Alberto Goldoni;A;nm4429331;Alberto Goldoni;A;nm4429331;Alberto Goldoni;A;nm4429331;Alberto Goldoni;A;nm4429331;Alberto Goldoni;A;nm4429331;Alberto Goldoni;A;;
ALBERTO MEDEIROS;TRUE;;Cast;El desorden que dejas S01E03;;ALBERTO MEDEIROS;X;;ALBERTO MEDEIROS;X;;ALBERTO MEDEIROS;X;;ALBERTO MEDEIROS;X;;ALBERTO MEDEIROS;X;;ALBERTO MEDEIROS;X;;ALBERTO MEDEIROS;X;;
Alberto Meloni;TRUE;Stagista;Camera and Electrical Department;La grande bellezza;nm5531214;Alberto Meloni;A;nm5531214;Alberto Meloni;A;nm5531214;Alberto Meloni;A;nm5531214;Alberto Meloni;A;nm5531214;Alberto Meloni;A;nm5531214;Alberto Meloni;A;nm5531214;Alberto Meloni;A;;
Alberto Patelli;TRUE;Barista Roberta;Cast;Romanzo criminale S01E01;nm1211361;Alberto Patelli;A;nm1211361;Alberto Patelli;A;nm1211361;Alberto Patelli;A;nm1211361;Alberto Patelli;A;nm1211361;Alberto Patelli;A;nm1211361;Alberto Patelli;A;nm1211361;Alberto Patelli;A;;
ALBERTO REGUEIRA FUERTES;TRUE;ProducciÃ³n;Production Department;El desorden que dejas S01E03;;ALBERTO REGUEIRA FUERTES;X;;ALBERTO REGUEIRA FUERTES;X;;ALBERTO REGUEIRA FUERTES;X;;ALBERTO REGUEIRA FUERTES;X;;ALBERTO REGUEIRA FUERTES;X;;ALBERTO REGUEIRA FUERTES;X;;ALBERTO REGUEIRA FUERTES;X;;
Alberto Sammarco;TRUE;Direttore Di Produzione;Production Managers;Romanzo criminale S01E01;nm1245720;Alberto Sammarco;A;nm1245720;Alberto Sammarco;A;nm1245720;Alberto Sammarco;A;nm1245720;Alberto Sammarco;A;nm1245720;Alberto Sammarco;A;nm1245720;Alberto Sammarco;A;nm1245720;Alberto Sammarco;A;;
ALBERTO SÁNCHEZ;TRUE;DiseÃ±o;Visual Effects;El desorden que dejas S01E03;nm4672262;Alberto Sánchez;A;nm4672262;Alberto Sánchez;A;nm4672262;Alberto Sánchez;A;nm4672262;Alberto Sánchez;A;nm4672262;Alberto Sánchez;A;nm4672262;Alberto Sánchez;A;nm4672262;Alberto Sánchez;A;;
ALBINO MORANDIN;TRUE;SEGR. DI PRODUZ.;Production Department;8 1-2;nm0603038;Albino Morandin;A;nm0603038;Albino Morandin;A;nm0603038;Albino Morandin;A;nm0603038;Albino Morandin;A;nm0603038;Albino Morandin;A;nm0603038;Albino Morandin;A;nm0603038;Albino Morandin;A;;
Alcide Pasquini;TRUE;Prete;Cast;Romanzo criminale S01E01;nm0664765;Alcide Pasquini;A;nm0664765;Alcide Pasquini;A;nm0664765;Alcide Pasquini;A;nm0664765;Alcide Pasquini;A;nm0664765;Alcide Pasquini;A;nm0664765;Alcide Pasquini;A;nm0664765;Alcide Pasquini;A;;
Aldo Abbate;TRUE;Barone Rosellini;Cast;Romanzo criminale S01E01;nm6828011;Aldo Abbate;A;nm6828011;Aldo Abbate;A;nm6828011;Aldo Abbate;A;nm6828011;Aldo Abbate;A;nm6828011;Aldo Abbate;A;nm6828011;Aldo Abbate;A;nm6828011;Aldo Abbate;A;;
Aldo Chessari;TRUE;Operatore subacqueo;Camera and Electrical Department;La grande bellezza;nm0156272;Aldo Chessari;A;nm0156272;Aldo Chessari;A;nm0156272;Aldo Chessari;A;nm0156272;Aldo Chessari;A;nm0156272;Aldo Chessari;A;nm0156272;Aldo Chessari;A;nm0156272;Aldo Chessari;A;;
Aldo Ralli;TRUE;;Cast;La grande bellezza;nm0707726;Aldo Ralli;A;nm0707726;Aldo Ralli;A;nm0707726;Aldo Ralli;A;nm0707726;Aldo Ralli;A;nm0707726;Aldo Ralli;A;nm0707726;Aldo Ralli;A;nm0707726;Aldo Ralli;A;;
Aldo Rizzieri;TRUE;Aiuto Attrezzisti;Camera and Electrical Department;Romanzo criminale S01E01;;Aldo Rizzieri;X;;Aldo Rizzieri;X;;Aldo Rizzieri;X;;Aldo Rizzieri;X;;Aldo Rizzieri;X;;Aldo Rizzieri;X;;Aldo Rizzieri;X;;
Aldo Signoretti;TRUE;acconciature;Makeup Department;La grande bellezza;nm0797532;Aldo Signoretti;A;nm0797532;Aldo Signoretti;A;nm0797532;Aldo Signoretti;A;nm0797532;Aldo Signoretti;A;nm0797532;Aldo Signoretti;A;nm0797532;Aldo Signoretti;A;nm0797532;Aldo Signoretti;A;;
ALDONA MAJAKOVAITE;TRUE;Costume Department Coordinator;Costume and Wardrobe Department;Chernobyl S01E01;nm8244760;Aldona Majakovaite;A;nm8244760;Aldona Majakovaite;A;nm8244760;Aldona Majakovaite;A;nm8244760;Aldona Majakovaite;A;nm8244760;Aldona Majakovaite;A;nm8244760;Aldona Majakovaite;A;nm8244760;Aldona Majakovaite;A;;
ALEJANDRA LOISEAU;TRUE;Directora de Arte;Art Directors;El desorden que dejas S01E03;nm1069700;Alejandra Loiseau;A;nm1069700;Alejandra Loiseau;A;nm1069700;Alejandra Loiseau;A;nm1069700;Alejandra Loiseau;A;nm1069700;Alejandra Loiseau;A;nm1069700;Alejandra Loiseau;A;nm1069700;Alejandra Loiseau;A;;
ALEJANDRO DA SILVA;TRUE;;Cast;El desorden que dejas S01E03;;ALEJANDRO DA SILVA;X;;ALEJANDRO DA SILVA;X;;ALEJANDRO DA SILVA;X;;ALEJANDRO DA SILVA;X;;ALEJANDRO DA SILVA;X;;ALEJANDRO DA SILVA;X;;ALEJANDRO DA SILVA;X;;
Alejandro Grave;TRUE;Jonas;Voice Actors - Dubbing;Dark S01E09;nm13924098;Alejandro Rave;M;nm13924098;Alejandro Rave;M;nm13924098;Alejandro Rave;M;nm13924098;Alejandro Rave;M;nm13924098;Alejandro Rave;M;;Alejandro Grave;X;;Alejandro Grave;X;Assente;
Alejandro López;TRUE;CortesÃ­a de;Soundtrack;El desorden que dejas S01E03;nm4481067;Alejandro López;A;nm4481067;Alejandro López;A;nm4481067;Alejandro López;A;nm4481067;Alejandro López;A;nm4481067;Alejandro López;A;nm4481067;Alejandro López;A;nm4481067;Alejandro López;A;;
Alejandro López;TRUE;Escrito;Soundtrack;El desorden que dejas S01E03;nm4481067;Alejandro López;A;nm4481067;Alejandro López;A;nm4481067;Alejandro López;A;nm4481067;Alejandro López;A;nm4481067;Alejandro López;A;nm4481067;Alejandro López;A;nm4481067;Alejandro López;A;;
Alejandro López;TRUE;Interpretado por;Music Department;El desorden que dejas S01E03;;Alejandro López;X;;Alejandro López;X;;Alejandro López;X;;Alejandro López;X;;Alejandro López;X;;Alejandro López;X;;Alejandro López;X;;
Alejandro López;TRUE;Interpretado por;Music Department;El desorden que dejas S01E03;;Alejandro López;X;;Alejandro López;X;;Alejandro López;X;;Alejandro López;X;;Alejandro López;X;;Alejandro López;X;;Alejandro López;X;;
ALEJANDRO LÓPEZ;TRUE;Montaje y Mezclas;Sound Department;El desorden que dejas S01E03;;ALEJANDRO LÓPEZ;X;;ALEJANDRO LÓPEZ;X;;ALEJANDRO LÓPEZ;X;;ALEJANDRO LÓPEZ;X;;ALEJANDRO LÓPEZ;X;;ALEJANDRO LÓPEZ;X;;ALEJANDRO LÓPEZ;X;;
ALEJANDRO LÓPEZ;TRUE;Supervisor de Sonido;Sound Department;El desorden que dejas S01E03;;ALEJANDRO LÓPEZ;X;;ALEJANDRO LÓPEZ;X;;ALEJANDRO LÓPEZ;X;;ALEJANDRO LÓPEZ;X;;ALEJANDRO LÓPEZ;X;;ALEJANDRO LÓPEZ;X;;ALEJANDRO LÓPEZ;X;;
ALEJANDRO QUEIRO;TRUE;Contable;Production Finance and Accounting;El desorden que dejas S01E03;;ALEJANDRO QUEIRO;X;nm11625576;Alejandra Queiro;M;nm11625576;Alejandra Queiro;M;nm11625576;Alejandra Queiro;M;;ALEJANDRO QUEIRO;X;;ALEJANDRO QUEIRO;X;;ALEJANDRO QUEIRO;X;;
LARS RICHTER;TRUE;1ST ASSISTANT A-CAMERA;Camera and Electrical Department;Dark S01E09;nm1247093;Lars Richter;A;nm1247093;Lars Richter;A;nm1247093;Lars Richter;A;nm1247093;Lars Richter;A;nm1247093;Lars Richter;A;nm1247093;Lars Richter;A;nm1247093;Lars Richter;A;;
JERRI WHITEMAN;TRUE;1st Assistant Accountant;Production Finance and Accounting;Se7en;nm0925836;Jerri Whiteman;A;nm0925836;Jerri Whiteman;A;nm0925836;Jerri Whiteman;A;nm0925836;Jerri Whiteman;A;nm0925836;Jerri Whiteman;A;nm0925836;Jerri Whiteman;A;nm0925836;Jerri Whiteman;A;;
ALEKSANDR LOGVINETS;TRUE;Transport Captain;Transportation Department;Chernobyl S01E01;;ALEKSANDR LOGVINETS;X;;ALEKSANDR LOGVINETS;X;;ALEKSANDR LOGVINETS;X;;ALEKSANDR LOGVINETS;X;;ALEKSANDR LOGVINETS;X;;ALEKSANDR LOGVINETS;X;;ALEKSANDR LOGVINETS;X;;
JOE HARTWICK, JR.;TRUE;1st Assistant Accountant;Production Finance and Accounting;Fight Club;nm1004434;Joe Hartwick Jr.;A;nm1004434;Joe Hartwick Jr.;A;nm1004434;Joe Hartwick Jr.;A;nm1004434;Joe Hartwick Jr.;A;nm1004434;Joe Hartwick Jr.;A;nm1004434;Joe Hartwick Jr.;A;nm1004434;Joe Hartwick Jr.;A;;
ALENA SMUK;TRUE;Accountants;Production Finance and Accounting;Chernobyl S01E01;;ALENA SMUK;X;;ALENA SMUK;X;;ALENA SMUK;X;;ALENA SMUK;X;;ALENA SMUK;X;;ALENA SMUK;X;;ALENA SMUK;X;;
Alessandra Cevenini;TRUE;Produzione Indigo Film;Additional Crew;La grande bellezza;nm1062071;Alessandra Cevenini;A;nm1062071;Alessandra Cevenini;A;nm1062071;Alessandra Cevenini;A;nm1062071;Alessandra Cevenini;A;nm1062071;Alessandra Cevenini;A;nm1062071;Alessandra Cevenini;A;nm1062071;Alessandra Cevenini;A;;
ALESSANDRA MASTRONARDI;TRUE;;Cast;Romanzo criminale S01E01;nm1616937;Alessandra Mastronardi;A;nm1616937;Alessandra Mastronardi;A;nm1616937;Alessandra Mastronardi;A;nm1616937;Alessandra Mastronardi;A;nm1616937;Alessandra Mastronardi;A;nm1616937;Alessandra Mastronardi;A;nm1616937;Alessandra Mastronardi;A;;
Alessandra Roca;TRUE;Amante Padre Freddo;Cast;Romanzo criminale S01E01;nm3559088;Alessandra Roca;A;nm3559088;Alessandra Roca;A;nm3559088;Alessandra Roca;A;nm3559088;Alessandra Roca;A;nm3559088;Alessandra Roca;A;nm3559088;Alessandra Roca;A;nm3559088;Alessandra Roca;A;;
Alessandra Troisi;TRUE;Aosm Roma;Second Unit Directors or Assistant Directors;La grande bellezza;nm6181327;Alessandra Troisi;A;nm6181327;Alessandra Troisi;A;nm6181327;Alessandra Troisi;A;nm6181327;Alessandra Troisi;A;nm6181327;Alessandra Troisi;A;nm6181327;Alessandra Troisi;A;nm6181327;Alessandra Troisi;A;;
Alessandra Vaglienti;TRUE;voci femminili del Torino Vocalensemble;Music Department;La grande bellezza;;Alessandra Vaglienti;X;;Alessandra Vaglienti;X;;Alessandra Vaglienti;X;;Alessandra Vaglienti;X;;Alessandra Vaglienti;X;;Alessandra Vaglienti;X;;Alessandra Vaglienti;X;;
Alessandro Bardani;TRUE;Detenuto Ventenne;Cast;Romanzo criminale S01E01;nm3051044;Alessandro Bardani;A;nm3051044;Alessandro Bardani;A;nm3051044;Alessandro Bardani;A;nm3051044;Alessandro Bardani;A;nm3051044;Alessandro Bardani;A;nm3051044;Alessandro Bardani;A;nm3051044;Alessandro Bardani;A;;
Alessandro Bianchi;TRUE;Fonico II Unita;Sound Department;Romanzo criminale S01E01;;Alessandro Bianchi;X;;Alessandro Bianchi;X;;Alessandro Bianchi;X;;Alessandro Bianchi;X;;Alessandro Bianchi;X;;Alessandro Bianchi;X;;Alessandro Bianchi;X;;
Alessandro Borgese;TRUE;Coordinatore Stunt;Stunts;Romanzo criminale S01E01;nm0096609;Alessandro Borgese;A;nm0096609;Alessandro Borgese;A;nm0096609;Alessandro Borgese;A;nm0096609;Alessandro Borgese;A;nm0096609;Alessandro Borgese;A;nm0096609;Alessandro Borgese;A;nm0096609;Alessandro Borgese;A;;
Alessandro Brambilla;TRUE;Operatore Steadycam;Camera and Electrical Department;La grande bellezza;nm1055156;Alessandro Brambilla;A;nm1055156;Alessandro Brambilla;A;nm1055156;Alessandro Brambilla;A;nm1055156;Alessandro Brambilla;A;nm1055156;Alessandro Brambilla;A;nm1055156;Alessandro Brambilla;A;nm1055156;Alessandro Brambilla;A;;
Alessandro Budroni;TRUE;Demetrio;Voice Actors - Dubbing;El desorden que dejas S01E03;nm7581635;Alessandro Budroni;A;nm7581635;Alessandro Budroni;A;nm7581635;Alessandro Budroni;A;nm7581635;Alessandro Budroni;A;nm7581635;Alessandro Budroni;A;nm7581635;Alessandro Budroni;A;nm7581635;Alessandro Budroni;A;;
Alessandro Cecchetti;TRUE;Sviluppo Negativo;Editorial Department;Romanzo criminale S01E01;;Alessandro Cecchetti;X;;Alessandro Cecchetti;X;;Alessandro Cecchetti;X;;Alessandro Cecchetti;X;;Alessandro Cecchetti;X;;Alessandro Cecchetti;X;;Alessandro Cecchetti;X;;
Alessandro Checcacci;TRUE;Fonico di mixage;Sound Department;La grande bellezza;nm1325778;Alessandro Checcacci;A;nm1325778;Alessandro Checcacci;A;nm1325778;Alessandro Checcacci;A;nm1325778;Alessandro Checcacci;A;nm1325778;Alessandro Checcacci;A;nm1325778;Alessandro Checcacci;A;nm1325778;Alessandro Checcacci;A;;
Alessandro Contenta;TRUE;3D animator;Visual Effects;La grande bellezza;nm6181434;Alessandro Contenta;A;nm6181434;Alessandro Contenta;A;nm6181434;Alessandro Contenta;A;nm6181434;Alessandro Contenta;A;nm6181434;Alessandro Contenta;A;nm6181434;Alessandro Contenta;A;nm6181434;Alessandro Contenta;A;;
Alessandro Contri;TRUE;Consulenza Legale;Legal Department;La grande bellezza;;Alessandro Contri;X;nm6181345;Alessandro Coni;M;nm6181345;Alessandro Coni;M;nm6181345;Alessandro Coni;M;;Alessandro Contri;X;;Alessandro Contri;X;;Alessandro Contri;X;;
Alessandro Del Vecchio;TRUE;Segretari di produzione;Production Department;La grande bellezza;nm3663859;Alessandro Del Vecchio;A;nm3663859;Alessandro Del Vecchio;A;nm3663859;Alessandro Del Vecchio;A;nm3663859;Alessandro Del Vecchio;A;nm3663859;Alessandro Del Vecchio;A;nm3663859;Alessandro Del Vecchio;A;nm3663859;Alessandro Del Vecchio;A;;
Alessandro Maniccia;TRUE;Telecinema Giornalieri;Editorial Department;Romanzo criminale S01E01;nm11583254;Alessandro Maniccia;A;nm11583254;Alessandro Maniccia;A;nm11583254;Alessandro Maniccia;A;nm11583254;Alessandro Maniccia;A;nm11583254;Alessandro Maniccia;A;nm11583254;Alessandro Maniccia;A;nm11583254;Alessandro Maniccia;A;;
Alessandro Marangolo;TRUE;Aiuti attrezzista;Art Department;La grande bellezza;nm4361778;Alessandro Marangolo;A;nm4361778;Alessandro Marangolo;A;nm4361778;Alessandro Marangolo;A;nm4361778;Alessandro Marangolo;A;nm4361778;Alessandro Marangolo;A;nm4361778;Alessandro Marangolo;A;nm4361778;Alessandro Marangolo;A;;
Alessandro Marverti;TRUE;Gigio;Cast;Romanzo criminale S01E01;nm3934891;Alessandro Marverti;A;nm3934891;Alessandro Marverti;A;nm3934891;Alessandro Marverti;A;nm3934891;Alessandro Marverti;A;nm3934891;Alessandro Marverti;A;nm3934891;Alessandro Marverti;A;nm3934891;Alessandro Marverti;A;;
Alessandro Micalizzi;TRUE;Music Licensing a cura di;Legal Department;La grande bellezza;nm7270434;Alessandro Micalizzi;A;nm7270434;Alessandro Micalizzi;A;nm7270434;Alessandro Micalizzi;A;nm7270434;Alessandro Micalizzi;A;nm7270434;Alessandro Micalizzi;A;nm7270434;Alessandro Micalizzi;A;nm7270434;Alessandro Micalizzi;A;;
Alessandro Molaioli;TRUE;Microfonista;Sound Department;Romanzo criminale S01E01;nm2000725;Alessandro Molaioli;A;nm2000725;Alessandro Molaioli;A;nm2000725;Alessandro Molaioli;A;nm2000725;Alessandro Molaioli;A;nm2000725;Alessandro Molaioli;A;nm2000725;Alessandro Molaioli;A;nm2000725;Alessandro Molaioli;A;;
Alessandro Paternesi;TRUE;Batteria;Music Department;La grande bellezza;;Alessandro Paternesi;X;;Alessandro Paternesi;X;;Alessandro Paternesi;X;;Alessandro Paternesi;X;;Alessandro Paternesi;X;;Alessandro Paternesi;X;;Alessandro Paternesi;X;;
ALESSANDRO PRETE;TRUE;;Cast;Romanzo criminale S01E01;nm0696531;Alessandro Prete;A;nm0696531;Alessandro Prete;A;nm0696531;Alessandro Prete;A;nm0696531;Alessandro Prete;A;nm0696531;Alessandro Prete;A;nm0696531;Alessandro Prete;A;nm0696531;Alessandro Prete;A;;
Alessandro Randone;TRUE;Aiuto Attrezzisti;Camera and Electrical Department;Romanzo criminale S01E01;;Alessandro Randone;X;nm5890309;Alessandro Grande;M;;Alessandro Randone;X;;Alessandro Randone;X;;Alessandro Randone;X;;Alessandro Randone;X;;Alessandro Randone;X;Assente;
ALESSANDRO ROJA;TRUE;;Cast;Romanzo criminale S01E01;nm3034998;Alessandro Roja;A;nm3034998;Alessandro Roja;A;nm3034998;Alessandro Roja;A;nm3034998;Alessandro Roja;A;nm3034998;Alessandro Roja;A;nm3034998;Alessandro Roja;A;nm3034998;Alessandro Roja;A;;
Alessandro Saulini;TRUE;Caposquadra elettricisti;Camera and Electrical Department;La grande bellezza;nm1013940;Alessandro Saulini;A;nm1013940;Alessandro Saulini;A;nm1013940;Alessandro Saulini;A;nm1013940;Alessandro Saulini;A;nm1013940;Alessandro Saulini;A;nm1013940;Alessandro Saulini;A;nm1013940;Alessandro Saulini;A;;
Alessandro Spadea;TRUE;Team Cattleya;Additional Crew;Romanzo criminale S01E01;nm14304100;Alessandro Sala;M;;Alessandro Spadea;X;;Alessandro Spadea;X;;Alessandro Spadea;X;;Alessandro Spadea;X;;Alessandro Spadea;X;;Alessandro Spadea;X;Assente;
ALESSANDRO von NORMANN;TRUE;II DIRETTORE;Second Unit Directors or Assistant Directors;8 1-2;;ALESSANDRO von NORMANN;X;;ALESSANDRO von NORMANN;X;;ALESSANDRO von NORMANN;X;;ALESSANDRO von NORMANN;X;;ALESSANDRO von NORMANN;X;;ALESSANDRO von NORMANN;X;;ALESSANDRO von NORMANN;X;;
TADAS MACKELIS;TRUE;1st Assistant Accountant (Lithuania);Production Finance and Accounting;Chernobyl S01E01;nm8268498;Tadas Mackelis;A;nm8268498;Tadas Mackelis;A;nm8268498;Tadas Mackelis;A;nm8268498;Tadas Mackelis;A;nm8268498;Tadas Mackelis;A;nm8268498;Tadas Mackelis;A;nm8268498;Tadas Mackelis;A;;
Alessia Bellotto;TRUE;Ammiratrice jep;Cast;La grande bellezza;nm2791522;Alessia Bellotto;A;nm2791522;Alessia Bellotto;A;nm2791522;Alessia Bellotto;A;nm2791522;Alessia Bellotto;A;nm2791522;Alessia Bellotto;A;nm2791522;Alessia Bellotto;A;nm2791522;Alessia Bellotto;A;;
Alessio Bomba;TRUE;Pittori;Art Department;Romanzo criminale S01E01;;Alessio Bomba;X;;Alessio Bomba;X;;Alessio Bomba;X;;Alessio Bomba;X;;Alessio Bomba;X;;Alessio Bomba;X;;Alessio Bomba;X;;
Alessio Manuali;TRUE;Treccia;Cast;Romanzo criminale S01E01;nm5329495;Alessio Manuali;A;nm5329495;Alessio Manuali;A;nm5329495;Alessio Manuali;A;nm5329495;Alessio Manuali;A;nm5329495;Alessio Manuali;A;nm5329495;Alessio Manuali;A;nm5329495;Alessio Manuali;A;;
Alessio Nissolino;TRUE;Iago;Voice Actors - Dubbing;El desorden que dejas S01E03;nm7581647;Alessio Nissolino;A;nm7581647;Alessio Nissolino;A;nm7581647;Alessio Nissolino;A;nm7581647;Alessio Nissolino;A;nm7581647;Alessio Nissolino;A;nm7581647;Alessio Nissolino;A;nm7581647;Alessio Nissolino;A;;
ALEX ALGOZZINO;TRUE;Drivers;Transportation Department;Se7en;nm0019339;Alex Algozzino;A;nm0019339;Alex Algozzino;A;nm0019339;Alex Algozzino;A;nm0019339;Alex Algozzino;A;nm0019339;Alex Algozzino;A;nm0019339;Alex Algozzino;A;nm0019339;Alex Algozzino;A;;
ALEX ALVAREZ;TRUE;Animators;Visual Effects;Chernobyl S01E01;nm10470784;Alex Alvarez;A;nm10470784;Alex Alvarez;A;nm10470784;Alex Alvarez;A;nm10470784;Alex Alvarez;A;nm10470784;Alex Alvarez;A;nm10470784;Alex Alvarez;A;nm10470784;Alex Alvarez;A;;
ÁLEX ANDRÉS PELAEZ;TRUE;TÃ©cnicos FX - In Extremis Film Services;Special Effects;El desorden que dejas S01E03;;ÁLEX ANDRÉS PELAEZ;X;;ÁLEX ANDRÉS PELAEZ;X;;ÁLEX ANDRÉS PELAEZ;X;;ÁLEX ANDRÉS PELAEZ;X;;ÁLEX ANDRÉS PELAEZ;X;;ÁLEX ANDRÉS PELAEZ;X;;ÁLEX ANDRÉS PELAEZ;X;;
YVONNE GEILER;TRUE;1ST ASSISTANT B-CAMERA;Camera and Electrical Department;Dark S01E09;nm0311978;Yvonne Geiler;A;nm0311978;Yvonne Geiler;A;nm0311978;Yvonne Geiler;A;nm0311978;Yvonne Geiler;A;nm0311978;Yvonne Geiler;A;nm0311978;Yvonne Geiler;A;nm0311978;Yvonne Geiler;A;;
ALEX BARNOYA;TRUE;First Aid;Health and Safety Department;Se7en;nm0056104;Alex Barnoya;A;nm0056104;Alex Barnoya;A;nm0056104;Alex Barnoya;A;nm0056104;Alex Barnoya;A;nm0056104;Alex Barnoya;A;nm0056104;Alex Barnoya;A;nm0056104;Alex Barnoya;A;;
ALEX BELKO;TRUE;2nd Unit Transport Captain;Transportation Department;Chernobyl S01E01;;ALEX BELKO;X;;ALEX BELKO;X;;ALEX BELKO;X;;ALEX BELKO;X;;ALEX BELKO;X;;ALEX BELKO;X;;ALEX BELKO;X;;
ALEX BLAKE;TRUE;Petrovich;Cast;Chernobyl S01E01;;ALEX BLAKE;X;;ALEX BLAKE;X;;ALEX BLAKE;X;;ALEX BLAKE;X;;ALEX BLAKE;X;;ALEX BLAKE;X;;ALEX BLAKE;X;;
ALEX GASCOIGNE;TRUE;DI Managers;Color Department;Chernobyl S01E01;nm2953214;Alex Gascoigne;A;nm2953214;Alex Gascoigne;A;nm2953214;Alex Gascoigne;A;nm2953214;Alex Gascoigne;A;nm2953214;Alex Gascoigne;A;nm2953214;Alex Gascoigne;A;nm2953214;Alex Gascoigne;A;;
Alex Gopher;TRUE;THE CHILD;Soundtrack;Amelie;nm5061029;Alex Gopher;A;nm5061029;Alex Gopher;A;nm5061029;Alex Gopher;A;nm5061029;Alex Gopher;A;nm5061029;Alex Gopher;A;nm5061029;Alex Gopher;A;nm5061029;Alex Gopher;A;;
ALEX MCDOWELL;TRUE;Production Designer;Production Designers;Fight Club;nm0568273;Alex McDowell;A;nm0568273;Alex McDowell;A;nm0568273;Alex McDowell;A;nm0568273;Alex McDowell;A;nm0568273;Alex McDowell;A;nm0568273;Alex McDowell;A;nm0568273;Alex McDowell;A;;
BRAD EDMISTON;TRUE;1st Assistant Camera;Camera and Electrical Department;Se7en;nm0249451;Brad Edmiston;A;nm0249451;Brad Edmiston;A;nm0249451;Brad Edmiston;A;nm0249451;Brad Edmiston;A;nm0249451;Brad Edmiston;A;nm0249451;Brad Edmiston;A;nm0249451;Brad Edmiston;A;;
ELINA ERÄNAN;TRUE;1st Assistant Camera;Camera and Electrical Department;Chernobyl S01E01;nm3309921;Elina Eränen;M;nm3309921;Elina Eränen;M;nm3309921;Elina Eränen;M;;ELINA ERÄNAN;X;;ELINA ERÄNAN;X;;ELINA ERÄNAN;X;;ELINA ERÄNAN;X;;
ALEX TAVOULARIS;TRUE;Production Illustrators;Art Department;Apocalypse Now;nm0851789;Alex Tavoularis;A;nm0851789;Alex Tavoularis;A;nm0851789;Alex Tavoularis;A;nm0851789;Alex Tavoularis;A;nm0851789;Alex Tavoularis;A;nm0851789;Alex Tavoularis;A;nm0851789;Alex Tavoularis;A;;
ALEX TEMME;TRUE;Propmakers;Property Department;Se7en;nm0854609;Alex Temme;A;nm0854609;Alex Temme;A;nm0854609;Alex Temme;A;nm0854609;Alex Temme;A;nm0854609;Alex Temme;A;nm0854609;Alex Temme;A;nm0854609;Alex Temme;A;;
ALEX ZOPPA;TRUE;interns;Additional Crew;Eternal Sunshine of the Spotless Mind;nm1635454;Alex Zoppa;A;nm1635454;Alex Zoppa;A;nm1635454;Alex Zoppa;A;nm1635454;Alex Zoppa;A;nm1635454;Alex Zoppa;A;nm1635454;Alex Zoppa;A;nm1635454;Alex Zoppa;A;;
ALEXA ZIMMERMAN;TRUE;apprentice sound editor;Sound Department;Eternal Sunshine of the Spotless Mind;nm0956669;Alexa Zimmerman;A;nm0956669;Alexa Zimmerman;A;nm0956669;Alexa Zimmerman;A;nm0956669;Alexa Zimmerman;A;nm0956669;Alexa Zimmerman;A;nm0956669;Alexa Zimmerman;A;nm0956669;Alexa Zimmerman;A;;
